sample_no,pid,ppid,cpu_children_sys,cpu_children_user,cpu_user,cpu_sys,cpu_percent,cpu_num,label
20986786,57,2,0,0,0,0,0,1,0
20986787,56,2,0,0,0,0,0,1,0
20986821,60,2,0,0,0,0,0,1,0
20986822,61,2,0,0,0,0,0,1,0
20986823,62,2,0,0,0,0,0,1,0
20986824,63,2,0,0,0,0,0,1,0
20986825,64,2,0,0,0,0,0,1,0
20986792,88,2,0,0,0,0,0,0,0
20986800,1019,1,0,0,0,0,0,1,0
20986764,23,2,0,0,0,0,0,1,0
20986840,1026,1,0,0,0,0,0,0,0
20986798,87,2,0,0,0,0,0,0,0
20986768,29,2,0,0,0,0,0,1,0
20986808,846,1,0,0,0,0,0,1,0
20986812,37,2,0,0,0,0,0,1,0
20986772,285,2,0,0,0,0,0,0,0
20986813,36,2,0,0,0,0,0,0,0
20986793,390,2,0,0,0,0,0,1,0
20986795,396,2,0,0,0,0,0,1,0
20986791,393,2,0,0,0,0,0,1,0
20986796,394,2,0,0,0,0,0,1,0
20986861,74,2,0,0,0,0,0,0,0
20986847,1184,1,0,0,0,0,0,1,0
20986765,1076,1,0,0,0,0,0,0,0
20986766,1077,1,0,0,0,0,0,0,0
20986790,375,2,0,0,0,0,0,1,0
20986794,397,2,0,0,0,0,0,1,0
20986773,284,2,0,0,0,0,0,1,0
20986807,382,2,0,0,0,0,0,1,0
20986759,26,2,0,0,0,0,0,1,0
20986844,16,2,0,0,0,0,0,0,0
20986763,22,2,0,0,0,0,0,1,0
20986845,19,2,0,0,0,0,0,1,0
20986757,24,2,0,0,0,0,0,1,0
20986780,129,2,0,0,0,0,0,0,0
20986762,21,2,0,0,0,0,0,1,0
20986799,3,2,0,0,0,0,0,0,0
20986839,13,2,0,0,0,0,0,1,0
20986815,34,2,0,0,0,0,0,1,0
20986831,2,0,0,0,0,0,0,1,0
20986788,53,2,0,0,0,0,0,1,0
20986770,4,2,0,0,0,0,0,0,0
20986854,5,2,0,0,0,0,0,0,0
20986810,31,2,0,0,0,0,0,0,0
20986805,586,2,0,0,0,0,0,0,0
20986778,127,2,0,0,0,0,0,0,0
20986804,1013,2,0,0,0,0,0,0,0
20986842,14,2,0,0,0,0,0,1,0
20986841,15,2,0,0,0,0,0,1,0
20986809,32,2,0,0,0,0,0,1,0
20986806,443,2,0,0,0,0,0,1,0
20986769,344,2,0,0,0,0,0,1,0
20986749,348,2,0,0,0,0,0,1,0
20986864,350,2,0,0,0,0,0,1,0
20986832,6,2,0,0,0,0,0,0,0
20986811,30,2,0,0,0,0,0,1,0
20986830,69,2,0,0,0,0,0,1,0
20986862,70,2,0,0,0,0,0,1,0
20986789,411,1,0,0,0,0,0,0,0
20986849,1023,1,0,0,0,0,0,1,0
20986767,28,2,0,0,0,0,0,1,0
20986774,1093,1,0,0,0,0,0,1,0
20986855,9,2,0,0,0,0,0,0,0
20986777,12,2,0,0,0,0,0,1,0
20986747,1303,1291,0,0,0.13,0.66,0,0,0
20986843,17,2,0,0,0,0,0,1,0
20986775,1157,1,0,0,0,0,0,0,0
20986846,18,2,0,0,0,0,0,1,0
20986836,1212,1,0,0,0,0,0,1,0
20986744,1304,1212,0,0,0.08,0.02,0,0,0
20986745,1306,1212,0,0,0.06,0.01,0,1,0
20986816,1307,1212,0,0,0.08,0.05,0,0,0
20986819,1227,1212,0,0,0.1,0.02,1.2,1,0
20986820,1226,1212,0,0,0.69,0.12,8.1,0,0
20986848,1183,1,0,0,0,0,0,0,0
20986857,1291,1290,0,0,0.06,0.07,1.3,1,0
20986850,234,2,0,0,0,0,0,0,0
20986771,8,2,0,0,0,0,0,0,0
20986801,7,2,0,0,0,0,0,0,0
20986797,398,2,0,0,0,0,0,1,0
20986803,1010,1,0,0,0,0,0,1,0
20986826,65,2,0,0,0,0,0,1,0
20986828,67,2,0,0,0,0,0,0,0
20986827,66,2,0,0,0,0,0,1,0
20986829,68,2,0,0,0,0,0,1,0
20986748,1267,1,0,0,0,0,0,0,0
20986859,1176,1157,0,0,0,0,0,0,0
20986863,1041,1,0,0,0,0,0,0,0
20986817,1245,1,0,0,0,0,0,1,0
20986856,1290,1,0,0,0,0,0,1,0
20986853,1,0,0,0,0.01,0,0.1,1,0
20986802,365,1,0,0,0,0,0,0,0
20986835,1037,1,0,0,0,0,0,1,0
20986834,505,1,0,0,0,0,0,1,0
20986781,422,1,0,0,0,0,0,1,0
20986746,1268,1267,0,0,0,0,0,1,0
20986784,55,2,0,0,0,0,0,1,0
20986814,35,2,0,0,0,0,0,1,0
20986838,10,2,0,0,0,0,0,0,0
20986837,11,2,0,0,0,0,0,1,0
20986761,20,2,0,0,0,0,0,1,0
20986977,1053,1,0,0,0,0,0,1,0
20986976,1051,1,0,0,0,0,0,1,0
20986910,54,2,0,0,0,0,0,1,0
20986984,1177,1,0,0,0,0,0,1,0
20986986,1174,1,0,0,0,0,0,0,0
20986880,27,2,0,0,0,0,0,1,0
20986943,1004,1,0,0,0,0,0,1,0
20986958,506,1,0,0,0,0,0,1,0
20986870,133,2,0,0,0,0,0,1,0
20986871,132,2,0,0,0,0,0,1,0
20986872,131,2,0,0,0,0,0,1,0
20986873,130,2,0,0,0,0,0,1,0
20986874,135,2,0,0,0,0,0,1,0
20986875,134,2,0,0,0,0,0,1,0
20986876,138,2,0,0,0,0,0,1,0
20986878,25,2,0,0,0,0,0,1,0
20986901,263,2,0,0,0,0,0,0,0
20986904,128,2,0,0,0,0,0,1,0
20986907,59,2,0,0,0,0,0,1,0
20986908,58,2,0,0,0,0,0,1,0
20986911,57,2,0,0,0,0,0,1,0
20986912,56,2,0,0,0,0,0,1,0
20986946,60,2,0,0,0,0,0,1,0
20986947,61,2,0,0,0,0,0,1,0
20986948,62,2,0,0,0,0,0,1,0
20986949,63,2,0,0,0,0,0,1,0
20986950,64,2,0,0,0,0,0,1,0
20986917,88,2,0,0,0,0,0,0,0
20986925,1019,1,0,0,0,0,0,1,0
20986884,23,2,0,0,0,0,0,1,0
20986965,1026,1,0,0,0,0,0,0,0
20986923,87,2,0,0,0,0,0,0,0
20986888,29,2,0,0,0,0,0,1,0
20986933,846,1,0,0,0,0,0,1,0
20986937,37,2,0,0,0,0,0,1,0
20986892,285,2,0,0,0,0,0,0,0
20986938,36,2,0,0,0,0,0,0,0
20986918,390,2,0,0,0,0,0,1,0
20986920,396,2,0,0,0,0,0,1,0
20986916,393,2,0,0,0,0,0,1,0
20986921,394,2,0,0,0,0,0,1,0
20986987,74,2,0,0,0,0,0,0,0
20986972,1184,1,0,0,0,0,0,1,0
20986885,1076,1,0,0,0,0,0,0,0
20986886,1077,1,0,0,0,0,0,0,0
20986915,375,2,0,0,0,0,0,1,0
20986919,397,2,0,0,0,0,0,1,0
20986893,284,2,0,0,0,0.01,0.1,1,0
20986932,382,2,0,0,0,0,0,1,0
20986879,26,2,0,0,0,0,0,1,0
20986969,16,2,0,0,0,0,0,0,0
20986883,22,2,0,0,0,0,0,1,0
20986970,19,2,0,0,0,0,0,1,0
20986877,24,2,0,0,0,0,0,1,0
20986905,129,2,0,0,0,0,0,0,0
20986882,21,2,0,0,0,0,0,1,0
20986924,3,2,0,0,0,0,0,0,0
20986964,13,2,0,0,0,0,0,1,0
20986940,34,2,0,0,0,0,0,1,0
20986956,2,0,0,0,0,0,0,1,0
20986913,53,2,0,0,0,0,0,1,0
20986890,4,2,0,0,0,0,0,0,0
20986980,5,2,0,0,0,0,0,0,0
20986935,31,2,0,0,0,0,0,0,0
20986930,586,2,0,0,0,0,0,0,0
20986903,127,2,0,0,0,0,0,0,0
20986929,1013,2,0,0,0,0,0,0,0
20986967,14,2,0,0,0,0,0,1,0
20986966,15,2,0,0,0,0,0,1,0
20986934,32,2,0,0,0,0,0,1,0
20986931,443,2,0,0,0,0,0,1,0
20986889,344,2,0,0,0,0,0,1,0
20986869,348,2,0,0,0,0,0,1,0
20986990,350,2,0,0,0,0,0,1,0
20986957,6,2,0,0,0,0,0,0,0
20986936,30,2,0,0,0,0,0,1,0
20986955,69,2,0,0,0,0,0,1,0
20986988,70,2,0,0,0,0,0,1,0
20986914,411,1,0,0,0,0,0,0,0
20986974,1023,1,0,0,0,0,0,1,0
20986887,28,2,0,0,0,0,0,1,0
20986978,1093,1,0,0,0,0,0,1,0
20986981,9,2,0,0,0,0,0,0,0
20986902,12,2,0,0,0,0,0,1,0
20986968,17,2,0,0,0,0,0,1,0
20986900,1157,1,0,0,0,0,0,0,0
20986971,18,2,0,0,0,0,0,1,0
20986961,1212,1,0,0,0,0,0,1,0
20986865,1304,1212,0,0,0.64,0.31,6.9,0,0
20986866,1306,1212,0,0,0.81,0.39,6.2,1,0
20986894,1316,1212,0,0,0.1,0.04,0,0,0
20986895,1315,1212,0,0,0.04,0.02,0,0,0
20986896,1314,1212,0,0,0.39,0.18,0,0,0
20986897,1312,1212,0,0,0.44,0.24,0,0,0
20986898,1311,1212,0,0,0.32,0.11,0,0,0
20986899,1310,1212,0,0,0.36,0.21,0,0,0
20986941,1307,1212,0,0,0.8,0.35,6.3,0,0
20986944,1227,1212,0,0,0.72,0.35,6,0,0
20986945,1226,1212,0,0,0.67,0.32,4.6,0,0
20986973,1183,1,0,0,0,0,0,0,0
20986983,1291,1290,1.53,0.35,0.23,0.16,1.9,0,0
20986975,234,2,0,0,0,0,0,0,0
20986891,8,2,0,0,0,0,0,0,0
20986926,7,2,0,0,0,0,0,1,0
20986922,398,2,0,0,0,0,0,1,0
20986928,1010,1,0,0,0,0,0,1,0
20986951,65,2,0,0,0,0,0,1,0
20986953,67,2,0,0,0,0,0,0,0
20986952,66,2,0,0,0,0,0,1,0
20986954,68,2,0,0,0,0,0,1,0
20986868,1267,1,0,0,0,0,0,0,0
20986985,1176,1157,0,0,0,0,0,0,0
20986989,1041,1,0,0,0,0,0,0,0
20986942,1245,1,0,0,0,0,0,1,0
20986982,1290,1,0,0,0,0,0,1,0
20986979,1,0,0,0,0,0,0,1,0
20986927,365,1,0,0,0,0.01,0.1,0,0
20986960,1037,1,0,0,0,0,0,1,0
20986959,505,1,0,0,0,0,0,1,0
20986906,422,1,0,0,0,0,0,1,0
20986867,1268,1267,0,0,0,0,0,1,0
20986909,55,2,0,0,0,0,0,1,0
20986939,35,2,0,0,0,0,0,1,0
20986963,10,2,0,0,0,0,0,0,0
20986962,11,2,0,0,0,0,0,1,0
20986881,20,2,0,0,0,0,0,1,0
20987102,1053,1,0,0,0,0,0,1,0
20987101,1051,1,0,0,0,0,0,1,0
20987034,54,2,0,0,0,0,0,1,0
20987109,1177,1,0,0,0,0,0,1,0
20987111,1174,1,0,0,0,0,0,0,0
20987004,27,2,0,0,0,0,0,1,0
20987069,1004,1,0,0,0,0,0,1,0
20987083,506,1,0,0,0,0.01,0.1,1,0
20986994,133,2,0,0,0,0,0,1,0
20986995,132,2,0,0,0,0,0,1,0
20986996,131,2,0,0,0,0,0,1,0
20986997,130,2,0,0,0,0,0,1,0
20986998,135,2,0,0,0,0,0,1,0
20986999,134,2,0,0,0,0,0,1,0
20987000,138,2,0,0,0,0,0,1,0
20987002,25,2,0,0,0,0,0,1,0
20987025,263,2,0,0,0,0,0,0,0
20987028,128,2,0,0,0,0,0,1,0
20987031,59,2,0,0,0,0,0,1,0
20987032,58,2,0,0,0,0,0,1,0
20987035,57,2,0,0,0,0,0,1,0
20987036,56,2,0,0,0,0,0,1,0
20987071,60,2,0,0,0,0,0,1,0
20987072,61,2,0,0,0,0,0,1,0
20987073,62,2,0,0,0,0,0,1,0
20987074,63,2,0,0,0,0,0,1,0
20987075,64,2,0,0,0,0,0,1,0
20987043,88,2,0,0,0,0,0,0,0
20987051,1019,1,0,0,0,0,0,1,0
20987008,23,2,0,0,0,0,0,1,0
20987090,1026,1,0,0,0,0.01,0,0,0
20987049,87,2,0,0,0,0,0,0,0
20987012,29,2,0,0,0,0,0,1,0
20987059,846,1,0,0,0,0,0,1,0
20987063,37,2,0,0,0,0,0,1,0
20987016,285,2,0,0,0,0,0,0,0
20987064,36,2,0,0,0,0,0,0,0
20987044,390,2,0,0,0,0,0,1,0
20987046,396,2,0,0,0,0,0,1,0
20987042,393,2,0,0,0,0,0,1,0
20987047,394,2,0,0,0,0,0,1,0
20987112,74,2,0,0,0,0,0,0,0
20987097,1184,1,0,0,0,0,0,1,0
20987009,1076,1,0,0,0,0,0,0,0
20987010,1077,1,0,0,0,0,0,0,0
20987039,375,2,0,0,0,0,0,1,0
20987045,397,2,0,0,0,0,0,1,0
20987017,284,2,0,0,0,0,0,1,0
20987058,382,2,0,0,0,0,0,1,0
20987003,26,2,0,0,0,0,0,1,0
20987094,16,2,0,0,0,0,0,0,0
20987007,22,2,0,0,0,0,0,1,0
20987095,19,2,0,0,0,0,0,1,0
20987001,24,2,0,0,0,0,0,1,0
20987029,129,2,0,0,0,0,0,0,0
20987006,21,2,0,0,0,0,0,1,0
20987050,3,2,0,0,0,0,0,0,0
20987089,13,2,0,0,0.01,0,0.1,1,0
20987066,34,2,0,0,0,0,0,1,0
20987081,2,0,0,0,0,0,0,1,0
20987037,53,2,0,0,0,0,0,1,0
20987014,4,2,0,0,0,0,0,0,0
20987105,5,2,0,0,0,0,0,0,0
20987061,31,2,0,0,0,0,0,0,0
20987056,586,2,0,0,0,0,0,0,0
20987027,127,2,0,0,0,0,0,0,0
20987055,1013,2,0,0,0,0,0,0,0
20987092,14,2,0,0,0,0,0,1,0
20987091,15,2,0,0,0,0,0,1,0
20987060,32,2,0,0,0,0,0,1,0
20987057,443,2,0,0,0,0,0,1,0
20987013,344,2,0,0,0,0,0,1,0
20986993,348,2,0,0,0,0,0,1,0
20987115,350,2,0,0,0,0,0,1,0
20987082,6,2,0,0,0,0,0,0,0
20987062,30,2,0,0,0,0,0,1,0
20987080,69,2,0,0,0,0,0,1,0
20987113,70,2,0,0,0,0.01,0.1,1,0
20987038,411,1,0,0,0,0,0,0,0
20987099,1023,1,0,0,0,0,0,1,0
20987011,28,2,0,0,0,0,0,1,0
20987103,1093,1,0,0,0,0,0,1,0
20987106,9,2,0,0,0,0,0,0,0
20987026,12,2,0,0,0,0,0,1,0
20987093,17,2,0,0,0,0,0,1,0
20987023,1157,1,0,0,0,0,0,0,0
20987096,18,2,0,0,0,0,0,1,0
20987086,1212,1,2.21,5.7,0,0.01,0,1,0
20987018,1316,1212,0,0,0.79,0.26,4.7,0,0
20987019,1315,1212,0,0,0.81,0.35,6.2,1,0
